%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508070358668640133,97,1508070358668286628,plot_matl,0.349065840244,0.0728719979525,0.118998587132,0.0187974087894,-0.00788867659867,-0.00788867659867,0.079373113811,0.0169613622129,0.0,0.0,-0.32271322608,8.36676311493,2091,2136,2504,2437,2437,2996,3389,3442,3355,3409,3204,1840,1407,1676,1701,2772,3313,3399,3289,3343,3049,3071,3377,3149,0.009985153,0.969994071,0.968559841,0.349065840244,0.0120459841564,-0.0560972951353,0.0392565205693,-0.0140779810026,-0.0140779810026,-0.00223381025717,0.0153098395094,2.10649561882,2.10649561882,0.405684292316,3.88316059113,2025,2023,2486,2034,2034,2963,3443,3444,3271,3385,3127,3079,3179,3167,3258,2871,3419,3429,3264,3383,3153,3370,3404,3213
1508070358678708201,98,1508070358678350992,plot_matl,0.349065840244,0.0742214769125,0.119651660323,0.0188764538616,0.00667842896655,0.00667842896655,0.0527529530227,0.0153721924871,0.0,0.0,-0.124660484493,8.46082115173,2114,2159,2504,2431,2431,2994,3391,3441,3352,3407,3202,1952,1563,1676,1701,2772,3313,3399,3289,3343,3049,3071,3377,3149,0.010064259,0.980058265,0.986297382,0.349065840244,0.0120459841564,-0.056063067168,0.039305947721,-0.0145299788564,-0.0145299788564,-0.00293310778216,0.014301225543,2.10201358795,2.10201358795,0.509799778461,3.87038516998,2023,2013,2486,2035,2035,2962,3445,3443,3269,3386,3126,3078,3180,3167,3258,2871,3419,3429,3264,3383,3153,3370,3404,3213
1508070358688556103,99,1508070358688295218,plot_matl,0.349065840244,0.0742214769125,0.119651660323,0.0188764538616,0.00667842896655,0.00667842896655,0.0527529530227,0.0153721924871,0.0,0.0,-0.124660484493,8.46082115173,2114,2159,2504,2431,2431,2994,3391,3441,3352,3407,3202,1952,1563,1676,1701,2772,3313,3399,3289,3343,3049,3071,3377,3149,0.009943319,0.99000247,0.984388581,0.349065840244,0.0120459841564,-0.056063067168,0.039305947721,-0.0145299788564,-0.0145299788564,-0.00293310778216,0.014301225543,2.10201358795,2.10201358795,0.509799778461,3.87038516998,2023,2013,2486,2035,2035,2962,3445,3443,3269,3386,3126,3078,3180,3167,3258,2871,3419,3429,3264,3383,3153,3370,3404,3213
1508070358698582820,100,1508070358698294747,plot_matl,0.349065840244,0.0728719979525,0.120037086308,0.0188862960786,-0.00462762825191,-0.00462762825191,-0.0221433024853,0.0150974085554,0.0,0.0,0.325968772173,8.22500324249,2238,2280,2500,2426,2426,2996,3392,3440,3349,3408,3199,1952,1563,1906,1847,2780,3318,3399,3290,3345,3051,3085,3376,3150,0.010000591,1.000002781,1.0000591,0.349065840244,0.0120459841564,-0.0560866855085,0.039261277765,-0.0145757747814,-0.0145757747814,-0.00246658152901,0.0151411695406,2.03977227211,2.03977227211,0.522900342941,3.91296195984,2021,2015,2486,2034,2034,2964,3444,3444,3269,3386,3126,3078,3180,3169,3258,2872,3418,3428,3263,3381,3154,3369,3406,3213
1508070358708579813,101,1508070358708287911,plot_matl,0.349065840244,0.0728719979525,0.119674853981,0.0189088881016,-0.00378863792866,-0.00378863792866,-0.0551017075777,-0.00626393221319,0.0,0.0,0.33917376399,8.25853633881,2302,2348,2500,2426,2426,2996,3392,3440,3349,3408,3199,2111,1792,2090,2039,2794,3325,3399,3290,3346,3047,3085,3376,3150,0.009992663,1.009996135,1.009258963,0.349065840244,0.0120459841564,-0.0560521967709,0.0392885766923,-0.014062111266,-0.014062111266,0.0121825458482,0.014539944008,2.06796479225,2.06796479225,0.77897721529,3.92874193192,2028,2024,2486,2034,2034,2964,3444,3444,3269,3386,3126,3078,3179,3167,3259,2870,3419,3428,3261,3381,3152,3369,3406,3213
1508070358718476591,102,1508070358718300656,plot_matl,0.349065840244,0.0742214769125,0.118908233941,0.0189639423043,0.0100333895534,0.0100333895534,-0.0933218151331,0.0134144714102,0.0,0.0,0.275845557451,8.29341220856,2353,2400,2493,2420,2420,2996,3389,3436,3345,3408,3199,2111,1792,2090,2039,2794,3325,3399,3290,3346,3047,3101,3373,3148,0.010009923,1.020007725,1.021012146,0.349065840244,0.0120459841564,-0.0560534745455,0.039262264967,-0.013758010231,-0.013758010231,-0.00313812750392,-0.00945820473135,2.07328891754,2.07328891754,0.510128617287,3.80212569237,2025,2021,2485,2036,2036,2961,3444,3445,3270,3386,3126,3078,3179,3167,3259,2870,3419,3428,3261,3381,3152,3368,3405,3212
1508070358728446042,103,1508070358728278273,plot_matl,0.349065840244,0.0728719979525,0.11766038835,0.0190854016691,-0.00342064211145,-0.00342064211145,-0.148652255535,0.0109379123896,0.0,0.0,0.228881016374,8.41359901428,2418,2474,2493,2420,2420,2996,3389,3436,3345,3406,3196,2274,2031,2270,2222,2819,3334,3404,3292,3346,3047,3101,3373,3148,0.009978235,1.029985691,1.027758205,0.349065840244,0.0144551806152,-0.0560147203505,0.0392887182534,0.0104248914868,0.0104248914868,-0.00391298998147,0.0144745893776,2.11560845375,2.11560845375,0.351814031601,3.83830451965,2031,2035,2485,2036,2036,2961,3444,3445,3270,3386,3126,3076,3180,3167,3257,2871,3418,3429,3264,3381,3152,3368,3405,3212
1508070358738441971,104,1508070358738295308,plot_matl,0.349065840244,0.0728719979525,0.115931607783,0.0192793644965,-0.00280270166695,-0.00280270166695,-0.194270700216,0.007007796783,0.0,0.0,0.235782966018,8.29459762573,2527,2635,2484,2415,2415,3000,3390,3436,3345,3406,3196,2274,2031,2270,2222,2819,3334,3404,3292,3345,3051,3114,3375,3148,0.010016043,1.04000225,1.041668472,0.349065840244,0.0120459841564,-0.0559799671173,0.0392373502254,-0.0126100573689,-0.0126100573689,-0.00457918457687,-0.00901960022748,2.09470129013,2.09470129013,0.109030388296,3.86754608154,2023,2013,2486,2035,2035,2963,3444,3445,3270,3386,3126,3076,3180,3167,3257,2871,3418,3429,3264,3383,3153,3368,3404,3213
1508070358748573428,105,1508070358748341084,plot_matl,0.349065840244,0.0715225115418,0.113757789135,0.0195454899222,-0.0161838941276,-0.0161838941276,-0.244315192103,0.0433139912784,0.0,0.0,-0.252439260483,7.910405159,2659,2688,2484,2415,2415,3000,3390,3435,3338,3401,3188,2448,2319,2456,2430,2842,3341,3404,3292,3345,3051,3114,3375,3148,0.010045879,1.050047975,1.054817295,0.349065840244,0.0144551806152,-0.0559101961553,0.0391559563577,0.0108952838928,0.0108952838928,0.00935464724898,-0.0073962896131,2.09565162659,2.09565162659,-0.0710047408938,3.89138460159,2034,2036,2486,2035,2035,2963,3444,3442,3270,3385,3126,3077,3180,3168,3256,2869,3421,3429,3264,3383,3153,3368,3404,3213
1508070358758539033,106,1508070358758291725,plot_matl,0.349065840244,0.0728719979525,0.111133418977,0.019972205162,-0.00207742373459,-0.00207742373459,-0.285268515348,0.05552688241,0.0,0.0,-1.33515334129,7.64294242859,2867,2904,2464,2409,2409,3000,3390,3435,3338,3401,3188,2448,2319,2456,2430,2842,3341,3405,3289,3342,3044,3134,3372,3138,0.009950876,1.059999037,1.054792856,0.349065840244,0.0144551806152,-0.0558823794127,0.0391295477748,0.0129238124937,0.0129238124937,0.00879330188036,-0.00690780859441,2.09491872787,2.09491872787,0.151336967945,3.61110949516,2028,2020,2485,2037,2037,2963,3444,3442,3270,3385,3126,3077,3180,3168,3256,2869,3421,3427,3260,3380,3154,3368,3405,3210
1508070358768522404,107,1508070358768299825,plot_matl,0.349065840244,0.0728719979525,0.108060188591,0.0204713772982,-0.00122718175407,-0.00122718175407,-0.330570816994,0.045480877161,0.0,0.0,-2.04370141029,7.81608343124,3091,3120,2464,2409,2409,3009,3388,3431,3326,3394,3176,2630,2614,2660,2681,2842,3341,3405,3289,3342,3044,3134,3372,3138,0.010007484,1.070006945,1.070800788,0.349065840244,0.0144551806152,-0.0558181963861,0.0391587466002,0.0132006397471,0.0132006397471,0.00747499009594,-0.00744628161192,2.06384253502,2.06384253502,0.207318544388,3.68144989014,2018,2020,2485,2037,2037,2963,3443,3444,3269,3386,3126,3076,3179,3166,3258,2869,3421,3427,3260,3380,3154,3368,3405,3210
1508070358778504247,108,1508070358778302242,plot_matl,0.349065840244,0.0728719979525,0.104409016669,0.0208604708314,-0.000231361729675,-0.000231361729675,-0.391061931849,0.0376172848046,0.0,0.0,-2.74007701874,7.51683235168,3337,3361,2423,2409,2409,3009,3388,3431,3326,3394,3176,2630,2614,2660,2681,2877,3352,3402,3284,3336,3033,3176,3365,3128,0.01000225,1.080009452,1.080243,0.349065840244,0.0120459841564,-0.0557507909834,0.0392011962831,-0.011686289683,-0.011686289683,0.00611096527427,0.0161682479084,2.04833769798,2.04833769798,0.430987238884,3.63367986679,2024,2024,2485,2037,2037,2963,3443,3444,3269,3386,3126,3076,3179,3166,3258,2870,3419,3428,3261,3383,3152,3365,3404,3212
