%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508070891889436358,109,1508070891889274965,plot_matl,0.349065840244,0.0526297725737,0.036658257246,0.0926015153527,-0.0116976695135,-0.0116976695135,0.0514000877738,0.00698184361681,0.0,0.0,-5.2741484642,-10.168592453,2012,2053,2099,2144,2144,2773,3327,3349,3158,3298,3023,2933,3035,3032,3134,2749,3328,3331,3146,3249,2887,3256,3295,3019,0.009980301,1.08997276,1.087852809,0.349065840244,0.0120459841564,-0.0354465134442,0.0548472255468,-0.00706981960684,-0.00706981960684,-0.0204280819744,-0.0060570994392,-0.12943200767,-0.12943200767,-1.44112253189,3.43279957771,2023,2012,2528,1954,1954,2980,3444,3447,3280,3393,3137,3073,3175,3164,3254,2863,3423,3436,3275,3397,3173,3370,3413,3228
1508070891899486709,110,1508070891899298285,plot_matl,0.349065840244,0.0526297725737,0.036658257246,0.0926015153527,-0.0116976695135,-0.0116976695135,0.0514000877738,0.00698184361681,0.0,0.0,-5.2741484642,-10.168592453,2004,2045,2099,2144,2144,2773,3327,3349,3158,3298,3023,2933,3035,3034,3133,2749,3327,3327,3146,3249,2884,3258,3296,3019,0.010022988,1.099996096,1.10252868,0.349065840244,0.0120459841564,-0.0354465134442,0.0548472255468,-0.00706981960684,-0.00706981960684,-0.0204280819744,-0.0060570994392,-0.12943200767,-0.12943200767,-1.44112253189,3.43279957771,2032,2030,2528,1954,1954,2980,3444,3447,3280,3393,3137,3073,3175,3163,3255,2861,3424,3437,3275,3397,3174,3366,3416,3228
1508070891909743913,111,1508070891909351899,plot_matl,0.349065840244,0.053979255259,0.0389955677092,0.0932728052139,0.00707986438647,0.00707986438647,0.0444671697915,0.0351437963545,0.0,0.0,-4.8536157608,-10.146946907,1993,2049,2098,2138,2138,2771,3330,3349,3160,3299,3025,2933,3035,3034,3133,2749,3327,3327,3146,3249,2884,3258,3296,3019,0.010054944,1.110050054,1.116098784,0.349065840244,0.0120459841564,-0.0362346097827,0.0548487715423,-0.00904929637909,-0.00904929637909,-0.0198724791408,0.0183823835105,0.0486253425479,0.0486253425479,-1.34083759785,3.69866037369,2044,2043,2528,1957,1957,2980,3445,3449,3282,3395,3136,3073,3175,3163,3255,2861,3424,3437,3275,3397,3174,3366,3416,3228
1508070891919648829,112,1508070891919312454,plot_matl,0.349065840244,0.053979255259,0.0389955677092,0.0932728052139,0.00707986438647,0.00707986438647,0.0444671697915,0.0351437963545,0.0,0.0,-4.8536157608,-10.146946907,2017,2076,2098,2138,2138,2771,3330,3349,3160,3299,3025,2934,3035,3034,3133,2751,3325,3331,3148,3248,2883,3258,3296,3019,0.00996019,1.12001072,1.11554128,0.349065840244,0.0120459841564,-0.0362346097827,0.0548487715423,-0.00904929637909,-0.00904929637909,-0.0198724791408,0.0183823835105,0.0486253425479,0.0486253425479,-1.34083759785,3.69866037369,2042,2041,2528,1957,1957,2980,3445,3449,3282,3395,3136,3070,3177,3163,3252,2862,3423,3437,3276,3394,3173,3366,3416,3228
1508070891929507608,113,1508070891929310524,plot_matl,0.349065840244,0.053979255259,0.0389955677092,0.0932728052139,0.00707986438647,0.00707986438647,0.0444671697915,0.0351437963545,0.0,0.0,-4.8536157608,-10.146946907,2020,2084,2099,2133,2133,2773,3328,3348,3157,3299,3025,2934,3035,3034,3133,2751,3325,3331,3148,3248,2883,3256,3297,3020,0.009996469,1.130008398,1.129600997,0.349065840244,0.0120459841564,-0.0362346097827,0.0548487715423,-0.00904929637909,-0.00904929637909,-0.0198724791408,0.0183823835105,0.0486253425479,0.0486253425479,-1.34083759785,3.69866037369,2061,2061,2528,1956,1956,2981,3444,3447,3282,3395,3136,3070,3177,3163,3252,2862,3423,3437,3276,3394,3173,3369,3415,3228
1508070891939783715,114,1508070891939290153,plot_matl,0.349065840244,0.053979255259,0.0389955677092,0.0932728052139,0.00707986438647,0.00707986438647,0.0444671697915,0.0351437963545,0.0,0.0,-4.8536157608,-10.146946907,2013,2065,2099,2133,2133,2773,3328,3348,3157,3298,3024,2934,3035,3034,3133,2750,3326,3330,3145,3248,2883,3256,3297,3020,0.009981353,1.139988602,1.137874242,0.349065840244,0.0120459841564,-0.0362346097827,0.0548487715423,-0.00904929637909,-0.00904929637909,-0.0198724791408,0.0183823835105,0.0486253425479,0.0486253425479,-1.34083759785,3.69866037369,2084,2075,2528,1956,1956,2981,3444,3447,3282,3394,3139,3073,3176,3163,3255,2861,3422,3436,3272,3394,3173,3369,3415,3228
1508070891949524917,115,1508070891949298732,plot_matl,0.349065840244,0.053979255259,0.04051701352,0.0936370417476,0.0114211635664,0.0114211635664,0.0271633081138,0.00692991865799,0.0,0.0,-4.69327020645,-10.0934019089,2022,2088,2098,2129,2129,2773,3329,3348,3157,3298,3024,2934,3035,3034,3133,2750,3326,3330,3145,3246,2883,3256,3296,3020,0.010007965,1.149997362,1.150915975,0.349065840244,0.0120459841564,-0.0367628671229,0.054874304682,-0.0106887714937,-0.0106887714937,-0.00920751038939,-0.00665291538462,-0.126142382622,-0.126142382622,-0.873392999172,3.50624871254,2066,2052,2526,1954,1954,2982,3446,3447,3282,3394,3139,3073,3176,3163,3255,2861,3422,3436,3272,3395,3170,3370,3413,3224
1508070891959405570,116,1508070891959263393,plot_matl,0.349065840244,0.053979255259,0.04051701352,0.0936370417476,0.0114211635664,0.0114211635664,0.0271633081138,0.00692991865799,0.0,0.0,-4.69327020645,-10.0934019089,2049,2090,2098,2129,2129,2773,3329,3348,3159,3298,3026,2935,3035,3032,3132,2751,3325,3330,3145,3246,2883,3256,3296,3020,0.009962903,1.159961253,1.155696748,0.349065840244,0.0120459841564,-0.0367628671229,0.054874304682,-0.0106887714937,-0.0106887714937,-0.00920751038939,-0.00665291538462,-0.126142382622,-0.126142382622,-0.873392999172,3.50624871254,2085,2080,2526,1954,1954,2982,3446,3449,3282,3392,3134,3072,3177,3161,3255,2860,3424,3436,3272,3395,3170,3370,3413,3224
1508070891969504904,117,1508070891969327411,plot_matl,0.349065840244,0.053979255259,0.04051701352,0.0936370417476,0.0114211635664,0.0114211635664,0.0271633081138,0.00692991865799,0.0,0.0,-4.69327020645,-10.0934019089,2024,2054,2098,2119,2119,2773,3329,3348,3159,3298,3026,2935,3035,3032,3132,2751,3325,3329,3147,3248,2883,3255,3294,3020,0.010064015,1.170025148,1.177489755,0.349065840244,0.0120459841564,-0.0367628671229,0.054874304682,-0.0106887714937,-0.0106887714937,-0.00920751038939,-0.00665291538462,-0.126142382622,-0.126142382622,-0.873392999172,3.50624871254,2082,2096,2524,1954,1954,2982,3446,3449,3282,3392,3134,3072,3177,3161,3255,2860,3424,3436,3275,3394,3171,3367,3415,3227
1508070891979472094,118,1508070891979272058,plot_matl,0.349065840244,0.053979255259,0.04051701352,0.0936370417476,0.0114211635664,0.0114211635664,0.0271633081138,0.00692991865799,0.0,0.0,-4.69327020645,-10.0934019089,2042,2067,2098,2119,2119,2772,3331,3346,3160,3300,3024,2934,3036,3035,3135,2751,3325,3329,3147,3248,2883,3255,3294,3020,0.009945587,1.179970575,1.173579266,0.349065840244,0.0120459841564,-0.0367628671229,0.054874304682,-0.0106887714937,-0.0106887714937,-0.00920751038939,-0.00665291538462,-0.126142382622,-0.126142382622,-0.873392999172,3.50624871254,2074,2066,2524,1954,1954,2979,3444,3449,3280,3394,3133,3071,3176,3164,3254,2860,3424,3436,3275,3394,3171,3367,3415,3227
