%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1507892076762839214,107,1507892076762344528,plot_matl,0.349065840244,0.107958510518,0.25220066309,0.100069634616,0.17846891284,0.17846891284,-1.12158572674,0.02298367396,0.00104709947482,0.00104709947482,1.68683207035,4.9052157402,2299,2332,2083,2530,2530,2673,3281,3304,3111,3265,2995,2859,2968,2969,3079,2628,3276,3288,3066,3205,2821,3209,3263,3002,0.010036452,1.070047394,1.073900364,0.349065840244,0.00722759030759,-0.107280105352,0.0341842100024,-0.0322844944894,-0.0322844944894,-0.0270903632045,-0.00501215085387,0.483948647976,0.483948647976,10.7788820267,7.91884803772,1987,1840,2495,2092,2092,2943,3432,3433,3261,3376,3115,3047,3152,3133,3229,2828,3398,3409,3245,3366,3139,3346,3392,3199
1507892076772736385,108,1507892076772321359,plot_matl,0.349065840244,0.107958510518,0.239893019199,0.100293181837,0.145583078265,0.145583078265,-1.32931625843,0.0184851363301,0.000858544488437,0.000858544488437,0.542726099491,3.92235255241,2286,2313,2079,2526,2526,2644,3272,3296,3111,3265,2995,2859,2968,2969,3079,2628,3276,3288,3066,3205,2822,3210,3258,2997,0.00997826,1.080024756,1.07765208,0.349065840244,0.00722759030759,-0.107448905706,0.0341396853328,-0.0272254440933,-0.0272254440933,-0.00831856764853,-0.00410959497094,0.431569993496,0.431569993496,10.1097383499,7.96400308609,1458,1423,2498,2090,2090,2962,3433,3437,3261,3376,3115,3047,3152,3133,3229,2828,3398,3409,3245,3366,3135,3346,3391,3199
1507892076782926209,109,1507892076782381614,plot_matl,0.349065840244,0.107958510518,0.239893019199,0.100293181837,0.145583078265,0.145583078265,-1.32931625843,0.0184851363301,0.000858544488437,0.000858544488437,0.542726099491,3.92235255241,2286,2313,2079,2526,2526,2644,3272,3296,3111,3265,2995,2859,2968,2969,3079,2628,3276,3288,3066,3205,2822,3210,3258,2997,0.010059393,1.090084546,1.096473837,0.349065840244,0.00722759030759,-0.107448905706,0.0341396853328,-0.0272254440933,-0.0272254440933,-0.00831856764853,-0.00410959497094,0.431569993496,0.431569993496,10.1097383499,7.96400308609,1458,1423,2498,2090,2090,2962,3433,3437,3261,3376,3115,3047,3152,3133,3229,2828,3398,3409,3245,3366,3135,3346,3391,3199
1507892076792707147,110,1507892076792336767,plot_matl,0.349065840244,0.112006954849,0.2114585042,0.100579574704,0.139206781983,0.139206781983,-1.69929182529,0.0111379865557,0.000577344093472,0.000577344093472,-0.559697508812,2.2957444191,2005,2055,2079,2526,2526,2644,3272,3296,3097,3258,2983,2861,2967,2968,3075,2644,3282,3304,3066,3205,2822,3210,3258,2997,0.009954712,1.100040129,1.09501832,0.349065840244,0.00722759030759,-0.1075720191,0.0337304696441,-0.0148540204391,-0.0148540204391,-0.00690630078316,-0.0220524612814,0.571157753468,0.571157753468,8.94410419464,7.90086126328,1061,992,2498,2090,2090,2962,3433,3437,3268,3377,3121,3045,3153,3131,3228,2808,3390,3423,3245,3366,3135,3346,3391,3199
1507892076802778682,111,1507892076802344934,plot_matl,0.349065840244,0.113356433809,0.194045558572,0.100537598133,0.126389533281,0.126389533281,-1.76277041435,-0.0294511318207,0.000472953252029,0.000472953252029,-0.512952327728,1.5918109417,2137,2204,2080,2525,2525,2637,3272,3296,3097,3258,2983,2861,2967,2968,3075,2644,3282,3304,3082,3217,2829,3220,3266,3000,0.010006384,1.110047655,1.110708624,0.349065840244,0.00481839384884,-0.107707694173,0.0337203517556,-0.0337954871356,-0.0337954871356,-0.0193082075566,-0.0215329043567,0.49546161294,0.49546161294,8.54990577698,7.84834814072,875,870,2532,2093,2093,3001,3433,3437,3268,3377,3121,3045,3153,3131,3228,2808,3390,3423,3249,3374,3138,3356,3397,3205
1507892076812693616,112,1507892076812317025,plot_matl,0.349065840244,0.11875436455,0.176354274154,0.100087985396,0.150887981057,0.150887981057,-1.75366735458,-0.0826900303364,0.000386942730984,0.000386942730984,-0.499366939068,0.715550065041,1937,1870,2080,2525,2525,2637,3276,3297,3091,3256,2979,2866,2969,2973,3081,2650,3282,3304,3082,3217,2829,3220,3266,3000,0.009972732,1.120020227,1.116945984,0.349065840244,0.00481839384884,-0.108068145812,0.0337232798338,-0.0280598737299,-0.0280598737299,-0.0425306074321,0.0032728058286,0.48038828373,0.48038828373,7.56472539902,7.72912597656,951,912,2532,2093,2093,3001,3449,3450,3294,3390,3144,3052,3162,3126,3227,2748,3390,3423,3249,3374,3138,3356,3397,3205
1507892076822582820,113,1507892076822318489,plot_matl,0.349065840244,0.12145332247,0.159292280674,0.0993880182505,0.148031875491,0.148031875491,-1.67687666416,-0.0892296880484,0.000316941004712,0.000316941004712,-0.442551136017,0.117063105106,1965,1940,2082,2524,2524,2637,3276,3297,3091,3256,2979,2866,2969,2973,3081,2650,3285,3292,3078,3205,2824,3209,3258,2989,0.009999435,1.130020895,1.129936155,0.349065840244,0.00722759030759,-0.108682408929,0.0338056981564,3.53624927811e-05,3.53624927811e-05,-0.0760203227401,0.00179867574479,0.501490592957,0.501490592957,6.05827760696,7.8762254715,1129,1048,2550,2092,2092,3001,3449,3450,3294,3390,3144,3052,3162,3126,3227,2748,3369,3389,3214,3350,3111,3340,3387,3193
1507892076832407795,114,1507892076832293750,plot_matl,0.349065840244,0.124152287841,0.143204778433,0.0986308306456,0.145120158792,0.145120158792,-1.55275678635,-0.0737868100405,0.000259489374002,0.000259489374002,-0.433389395475,-0.269848644733,2023,2074,2082,2524,2524,2609,3262,3285,3073,3248,2970,2864,2962,2974,3081,2650,3285,3292,3078,3205,2824,3209,3258,2989,0.009974303,1.139995643,1.137070542,0.349065840244,0.00722759030759,-0.109488330781,0.0338970944285,0.00260163773783,0.00260163773783,-0.0903358608484,0.024591833353,0.591854929924,0.591854929924,4.63162374496,7.89601325989,1078,1128,2550,2092,2092,3022,3447,3448,3304,3389,3152,3049,3162,3116,3227,2748,3369,3389,3214,3350,3111,3340,3387,3193
1507892076842723262,115,1507892076842313754,plot_matl,0.349065840244,0.125501766801,0.128643169999,0.0978998020291,0.130239486694,0.130239486694,-1.37902259827,-0.0589296780527,0.0183096192777,0.0183096192777,-0.538309931755,-0.510150909424,1900,1925,2082,2524,2524,2609,3262,3285,3073,3248,2970,2864,2962,2974,3076,2672,3291,3295,3085,3208,2829,3205,3257,2989,0.010021002,1.150016214,1.15241523,0.349065840244,0.00722759030759,-0.110393390059,0.034019716084,0.00164825841784,0.00164825841784,-0.0873130708933,0.0222709849477,0.628800392151,0.628800392151,3.41538238525,7.73771476746,1378,1341,2550,2092,2092,3022,3447,3448,3304,3389,3152,3049,3162,3116,3222,2696,3347,3370,3194,3336,3094,3336,3384,3192
1507892076852986756,116,1507892076852385521,plot_matl,0.349065840244,0.125501766801,0.115804702044,0.0971247553825,0.105760194361,0.105760194361,-1.18646073341,-0.0848890021443,0.031434006989,0.031434006989,-0.72792840004,-0.777680039406,1496,1535,2086,2526,2526,2583,3252,3280,3065,3248,2969,2858,2962,2974,3076,2672,3291,3295,3085,3208,2829,3205,3257,2989,0.010073365,1.160088572,1.16851034,0.349065840244,0.00963678769767,-0.111376903951,0.0341612286866,0.0230125915259,0.0230125915259,-0.0980761274695,0.0195402819663,0.769167304039,0.769167304039,2.23100447655,7.85223722458,1631,1644,2566,2092,2092,3040,3451,3451,3312,3391,3156,3048,3162,3116,3222,2696,3347,3370,3194,3336,3094,3336,3384,3192
