%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508071945840155228,87,1508071945839862714,plot_matl,0.349065840244,0.0175432581455,0.222008183599,0.0466400906444,0.0208207126707,0.0208207126707,0.49506226182,-0.0033141404856,6.29176998138,6.29176998138,6.07478523254,-9.69562530518,0,0,2622,2046,2046,3071,3399,3417,3366,3364,3231,2964,3084,3040,3141,2833,3317,3347,3283,3244,3032,3190,3236,2895,0.010267303,0.870284992,0.893255361,0.349065840244,0.0120459841564,-0.0520439334214,-0.00227235024795,-0.00142425054219,-0.00142425054219,-0.00739581603557,0.00418229075149,0.192166104913,0.192166104913,0.175128906965,0.287584125996,2007,1994,2497,2041,2041,2955,3437,3439,3263,3378,3117,3071,3171,3160,3251,2864,3415,3421,3257,3375,3144,3361,3396,3206
1508071945849815023,88,1508071945849598965,plot_matl,0.349065840244,0.0175432581455,0.226755589247,0.0465131253004,0.0175368692726,0.0175368692726,0.466253340244,-0.0216681268066,7.0228972435,7.0228972435,6.18891334534,-9.17656803131,0,0,2622,2046,2046,3071,3399,3417,3366,3364,3231,2964,3075,3017,3126,2811,3316,3351,3290,3257,3043,3205,3236,2895,0.009735059,0.880020946,0.856685192,0.349065840244,0.0120459841564,-0.0520964078605,-0.00229919911362,-0.00252903578803,-0.00252903578803,-0.00633397046477,-0.00570204108953,0.168741121888,0.168741121888,0.213829353452,0.342923700809,2068,2059,2497,2041,2041,2955,3437,3439,3263,3378,3117,3071,3173,3159,3252,2863,3414,3424,3256,3375,3144,3364,3396,3206
1508071945859856372,89,1508071945859618384,plot_matl,0.349065840244,0.0175432581455,0.231413111091,0.0464320108294,0.0161075796932,0.0161075796932,0.466125071049,0.000832461577374,7.45714902878,7.45714902878,6.11943483353,-8.86242675781,0,0,2612,2043,2043,3068,3401,3413,3368,3359,3231,2964,3075,3017,3126,2811,3316,3351,3290,3257,3043,3205,3242,2889,0.010019164,0.890040221,0.891705596,0.349065840244,0.0120459841564,-0.0521533675492,-0.00229349569418,-0.00255106016994,-0.00255106016994,-0.00518539687619,0.00460991030559,0.124229125679,0.124229125679,0.295155584812,0.313842654228,2039,2048,2498,2044,2044,2954,3439,3438,3262,3381,3117,3071,3173,3159,3252,2863,3414,3424,3256,3375,3144,3364,3398,3206
1508071945869850605,90,1508071945869615747,plot_matl,0.349065840244,0.0161937773228,0.235960394144,0.0462925732136,3.93283589801e-05,3.93283589801e-05,0.45480671525,0.00364813324995,7.95974636078,7.95974636078,6.05212211609,-8.69390678406,0,0,2612,2043,2043,3068,3401,3413,3368,3359,3230,2967,3081,3033,3143,2781,3333,3355,3278,3255,3043,3205,3242,2889,0.009997687,0.900038095,0.89979183,0.349065840244,0.0144551806152,-0.0521997474134,-0.00230711488985,0.0204119868577,0.0204119868577,-0.00425012363121,0.00488386955112,0.0489663854241,0.0489663854241,0.358274281025,0.401970356703,2059,1978,2498,2044,2044,2954,3439,3438,3262,3381,3117,3070,3172,3159,3249,2864,3414,3422,3257,3375,3144,3364,3398,3206
1508071945880138015,91,1508071945879598224,plot_matl,0.349065840244,0.0161937773228,0.240439668298,0.0462343804538,-0.00118412438314,-0.00118412438314,0.444871813059,-0.0160130057484,8.51209640503,8.51209640503,6.62580013275,-8.92488002777,2387,2216,2602,2039,2039,3068,3410,3421,3368,3359,3230,2967,3081,3033,3143,2781,3333,3355,3278,3255,3041,3202,3240,2898,0.00998379,0.910021154,0.90852489,0.349065840244,0.0120459841564,-0.0522768460214,-0.00230197445489,-0.00493154907599,-0.00493154907599,-0.0180101208389,-0.00565937999636,0.0439430177212,0.0439430177212,0.327941447496,0.366909652948,2054,2031,2497,2050,2050,2954,3440,3440,3262,3381,3117,3070,3172,3159,3249,2864,3414,3422,3257,3375,3144,3360,3397,3206
1508071945889956435,92,1508071945889633276,plot_matl,0.349065840244,0.0161937773228,0.244741901755,0.0462590642273,-0.00124105671421,-0.00124105671421,0.411658793688,0.00432636775076,8.9458694458,8.9458694458,7.04701185226,-7.96855640411,1651,1599,2602,2039,2039,3068,3410,3421,3370,3361,3230,2974,3095,3047,3151,2765,3339,3359,3278,3255,3041,3202,3240,2898,0.01003366,0.920055605,0.92309672,0.349065840244,0.0120459841564,-0.0523266009986,-0.00229532504454,-0.00530629279092,-0.00530629279092,-0.00163594784681,0.00463222246617,-0.146792754531,-0.146792754531,0.416979789734,0.375673085451,2041,2015,2497,2050,2050,2954,3440,3440,3262,3377,3118,3070,3172,3160,3250,2864,3414,3424,3257,3375,3144,3360,3397,3206
1508071945899891551,93,1508071945899606330,plot_matl,0.349065840244,0.0148442955688,0.248569756746,0.0462785921991,-0.0146302795038,-0.0146302795038,0.361168324947,0.00391388731077,9.53835678101,9.53835678101,7.46187591553,-7.46482038498,2741,2699,2582,2034,2034,3066,3410,3421,3370,3361,3230,2974,3095,3047,3151,2765,3339,3359,3276,3259,3042,3214,3239,2902,0.009971666,0.930028599,0.927364938,0.349065840244,0.0120459841564,-0.0523968450725,-0.00229220394976,-0.00564054911956,-0.00564054911956,-0.0155680924654,-0.00588563038036,-0.118096642196,-0.118096642196,0.467443972826,0.480972111225,2033,2030,2496,2050,2050,2955,3440,3440,3262,3377,3118,3070,3172,3160,3250,2864,3414,3424,3255,3374,3146,3362,3395,3205
1508071945910003151,94,1508071945909609564,plot_matl,0.349065840244,0.0148442955688,0.25181633234,0.0462782382965,-0.01443087589,-0.01443087589,0.3090095222,-0.0169106051326,9.91237258911,9.91237258911,7.76763343811,-8.08462429047,3128,3153,2582,2034,2034,3066,3408,3419,3364,3360,3228,2970,3093,3042,3152,2756,3339,3359,3276,3259,3042,3214,3239,2902,0.010004692,0.940032348,0.940441048,0.349065840244,0.0120459841564,-0.0524527318776,-0.00228801788762,-0.00544778862968,-0.00544778862968,0.000883616157807,-0.00595390703529,-0.00661245826632,-0.00661245826632,0.515945494175,0.42910015583,2045,2041,2496,2050,2050,2955,3439,3437,3262,3378,3118,3069,3174,3161,3250,2863,3414,3424,3255,3374,3146,3362,3395,3205
1508071945919747033,95,1508071945919586761,plot_matl,0.349065840244,0.0161937773228,0.254549503326,0.0462961047888,-0.000397978001274,-0.000397978001274,0.253807783127,-0.0172408670187,10.3100614548,10.3100614548,6.83469581604,-7.70392274857,3287,3305,2536,2041,2041,3066,3408,3419,3364,3360,3228,2970,3093,3042,3152,2756,3340,3364,3276,3270,3045,3226,3252,2923,0.00997493,0.950009048,0.94761835,0.349065840244,0.0120459841564,-0.0524450950325,-0.00230394559912,-0.00621702894568,-0.00621702894568,0.000723778561223,-0.00564990704879,0.0843976661563,0.0843976661563,0.669231832027,0.423297226429,2006,2004,2497,2046,2046,2955,3439,3437,3262,3378,3118,3069,3174,3161,3250,2863,3413,3424,3257,3374,3144,3360,3397,3203
1508071945929726054,96,1508071945929580755,plot_matl,0.349065840244,0.0175432581455,0.256848245859,0.0464413389564,0.0137707181275,0.0137707181275,0.207393944263,0.0215270575136,10.6014604568,10.6014604568,8.53291606903,-7.67868471146,3551,3577,2536,2041,2041,3055,3411,3420,3359,3362,3216,2975,3093,3050,3152,2756,3340,3364,3276,3270,3045,3226,3252,2923,0.00999289,0.960002483,0.95931744,0.349065840244,0.0144551806152,-0.0524514317513,-0.00229765241966,0.0166166909039,0.0166166909039,0.000847698189318,0.00465275254101,0.0512412264943,0.0512412264943,0.626241981983,0.346690505743,2009,2007,2497,2046,2046,2954,3438,3438,3264,3379,3116,3071,3171,3160,3250,2863,3413,3424,3257,3374,3144,3360,3397,3203
