%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508071605836846481,96,1508071605836441758,plot_matl,0.349065840244,0.0661245882511,0.0923387855291,-0.0508428364992,0.0159867629409,0.0159867629409,-0.99324965477,0.0307294353843,8.78136825562,8.78136825562,-0.656605005264,13.6659927368,2956,2964,2195,1877,1877,2808,3354,3369,3201,3336,3078,3014,3099,3120,3194,2923,3375,3374,3227,3310,3001,3293,3338,3083,0.010003424,0.960010882,0.960328704,0.349065840244,0.0240919683129,-0.0148745309561,0.0219208020717,0.0140906777233,0.0140906777233,-0.00636645918712,-0.00245558167808,0.0272438451648,0.0272438451648,8.15428161621,0.57587903738,1933,1935,2524,2024,2024,2954,3433,3432,3257,3371,3107,3059,3162,3148,3242,2824,3400,3412,3239,3365,3127,3356,3392,3195
1508071605846704635,97,1508071605846429969,plot_matl,0.349065840244,0.0647751092911,0.0827150866389,-0.0504869446158,0.00217720866203,0.00217720866203,-0.933020889759,0.0333280414343,8.12658596039,8.12658596039,-1.17121827602,13.1165914536,2694,2707,2181,1881,1881,2805,3354,3369,3193,3329,3068,3013,3099,3123,3193,2923,3379,3375,3224,3309,2997,3293,3335,3079,0.00998753,0.969998766,0.96879041,0.349065840244,0.0240919683129,-0.0148375686258,0.022050159052,0.0132808554918,0.0132808554918,-0.00714283296838,-0.00505552347749,0.0223120804876,0.0223120804876,8.2453584671,0.41825568676,1970,1970,2525,2019,2019,2956,3433,3432,3257,3371,3108,3056,3164,3147,3240,2815,3398,3411,3232,3366,3126,3355,3390,3196
1508071605856742384,98,1508071605856466254,plot_matl,0.349065840244,0.0634256228805,0.073891274631,-0.0501613505185,-0.0120497373864,-0.0120497373864,-0.848663151264,0.0267707165331,7.48657751083,7.48657751083,-1.40066850185,12.373957634,2526,2560,2181,1881,1881,2805,3354,3366,3188,3327,3062,3014,3102,3122,3195,2920,3379,3375,3224,3309,2997,3293,3335,3079,0.010035759,0.980035082,0.983504382,0.349065840244,0.0240919683129,-0.0148220919073,0.0221586655825,0.0112820314243,0.0112820314243,-0.00745720556006,0.0172886494547,-0.0208900272846,-0.0208900272846,8.30427074432,0.342692047358,1992,1996,2525,2019,2019,2956,3432,3434,3259,3374,3108,3056,3163,3145,3242,2810,3398,3411,3232,3366,3126,3355,3390,3196
1508071605866724269,99,1508071605866460247,plot_matl,0.349065840244,0.0647751092911,0.0658274292946,-0.0498561412096,0.00105604249984,0.00105604249984,-0.75281971693,0.0303971283138,6.62427043915,6.62427043915,-1.39043796062,11.6521024704,2369,2404,2174,1885,1885,2805,3354,3366,3188,3327,3062,3014,3102,3122,3195,2920,3381,3372,3225,3309,2997,3295,3333,3075,0.009994033,0.990029135,0.989409267,0.349065840244,0.0240919683129,-0.0148332314566,0.0222477577627,0.00964035466313,0.00964035466313,-0.00723426695913,-0.00894136913121,-0.050473511219,-0.050473511219,8.30851840973,0.328818827868,2019,2019,2525,2021,2021,2956,3432,3434,3259,3374,3108,3056,3163,3145,3242,2810,3395,3410,3232,3365,3126,3354,3391,3196
1508071605876683127,100,1508071605876471667,plot_matl,0.349065840244,0.0661245882511,0.0587621405721,-0.0496090166271,0.0147343808785,0.0147343808785,-0.663742423058,0.0254224520177,5.85795354843,5.85795354843,-1.74804735184,10.9862852097,2176,2210,2174,1885,1885,2805,3353,3367,3186,3325,3061,3014,3100,3121,3195,2920,3381,3372,3225,3309,2997,3295,3333,3075,0.010010463,1.000040381,1.0010463,0.349065840244,0.0240919683129,-0.0147890811786,0.0223214775324,0.00921918638051,0.00921918638051,0.00718172686175,0.0140475304797,-0.0817714035511,-0.0817714035511,8.39581871033,0.392877191305,2028,2030,2525,2021,2021,2956,3434,3432,3260,3373,3107,3056,3162,3145,3242,2810,3395,3410,3232,3365,3126,3354,3391,3196
1508071605886684419,101,1508071605886452068,plot_matl,0.349065840244,0.0647751092911,0.0526945516467,-0.0493801534176,0.00086232367903,0.00086232367903,-0.567999303341,0.020816328004,5.23245096207,5.23245096207,-1.81341564655,10.4554414749,2009,2041,2174,1885,1885,2805,3353,3367,3186,3325,3061,3014,3100,3121,3197,2923,3379,3374,3223,3308,2994,3293,3336,3075,0.009980754,1.010021122,1.008056154,0.349065840244,0.0265011657029,-0.0147244650871,0.0223386213183,0.032296128571,0.032296128571,0.00588259426877,0.0136937806383,-0.0669794306159,-0.0669794306159,8.19371986389,0.231107518077,2032,2036,2525,2021,2021,2956,3434,3432,3260,3373,3107,3056,3162,3145,3239,2807,3396,3407,3231,3365,3126,3354,3392,3196
1508071605896862010,102,1508071605896501339,plot_matl,0.349065840244,0.0647751092911,0.0475668683648,-0.0491834133863,0.00120824656915,0.00120824656915,-0.464375257492,0.0266190711409,4.68185472488,4.68185472488,-1.72667753696,9.91475105286,1868,1905,2177,1888,1888,2805,3353,3365,3185,3323,3061,3016,3100,3121,3197,2923,3379,3374,3223,3308,2994,3293,3336,3075,0.010049064,1.020070017,1.025004528,0.349065840244,0.0240919683129,-0.0147151369601,0.022442849353,0.00565321417525,0.00565321417525,0.00569758238271,0.0116512458771,0.0110671678558,0.0110671678558,8.10014438629,0.130144268274,2030,2031,2526,2019,2019,2958,3433,3434,3260,3373,3107,3056,3162,3145,3239,2807,3396,3407,3231,3365,3126,3354,3392,3196
1508071605906756231,103,1508071605906470073,plot_matl,0.349065840244,0.0647751092911,0.0432970486581,-0.0490035116673,0.00170274055563,0.00170274055563,-0.378079950809,0.0132393985987,4.26517963409,4.26517963409,-1.84216785431,9.61752414703,1779,1808,2177,1888,1888,2805,3353,3365,3185,3323,3061,3016,3102,3120,3195,2924,3377,3377,3224,3309,2994,3295,3336,3075,0.009968183,1.030038997,1.026722849,0.349065840244,0.0216827709228,-0.014692440629,0.0225083902478,-0.0196574628353,-0.0196574628353,0.00524052372202,0.0103869270533,0.00904997810721,0.00904997810721,8.01277637482,0.125632092357,2019,2010,2526,2019,2019,2958,3433,3434,3260,3373,3107,3056,3163,3145,3242,2805,3395,3409,3232,3363,3126,3356,3392,3196
1508071605916673706,104,1508071605916427207,plot_matl,0.349065840244,0.0647751092911,0.0398202463984,-0.0488151572645,0.00115819438361,0.00115819438361,-0.321245878935,0.0192159097642,3.99417376518,3.99417376518,-2.00789904594,9.10523891449,1732,1766,2183,1886,1886,2806,3355,3365,3188,3327,3061,3016,3102,3120,3195,2924,3377,3377,3224,3309,2994,3295,3332,3078,0.009956468,1.039995849,1.035472672,0.349065840244,0.0240919683129,-0.0146583961323,0.0225573834032,0.00422360608354,0.00422360608354,0.00455062277615,-0.0150709860027,-0.0312148947269,-0.0312148947269,7.94528865814,0.123628363013,2004,2005,2526,2019,2019,2956,3433,3433,3259,3372,3107,3056,3163,3145,3242,2805,3395,3409,3232,3363,3126,3356,3390,3197
1508071605926729158,105,1508071605926462484,plot_matl,0.349065840244,0.0647751092911,0.0369510799646,-0.0486426837742,0.00120487296954,0.00120487296954,-0.263260424137,0.0157329589128,3.70982551575,3.70982551575,-2.18205881119,8.8316526413,1742,1778,2183,1886,1886,2806,3355,3365,3188,3327,3062,3015,3101,3121,3197,2926,3378,3375,3225,3307,2994,3295,3332,3078,0.010035313,1.050031095,1.053707865,0.349065840244,0.0265011657029,-0.0146729191765,0.02262189053,0.0281052645296,0.0281052645296,-0.0104755228385,0.00816289801151,-0.0255570858717,-0.0255570858717,8.05447101593,-0.0111602228135,2007,1998,2526,2019,2019,2956,3433,3433,3259,3372,3109,3056,3164,3144,3240,2805,3396,3408,3233,3364,3126,3356,3390,3197
1508071605936695556,106,1508071605936441820,plot_matl,0.349065840244,0.0647751092911,0.0346349403262,-0.0484546422958,0.000259282271145,0.000259282271145,-0.216482505202,0.0217189304531,3.3982925415,3.3982925415,-2.24476742744,8.62790298462,1742,1778,2183,1886,1886,2806,3355,3365,3188,3327,3062,3015,3101,3121,3197,2926,3378,3375,3225,3307,2994,3295,3332,3078,0.009978297,1.060010407,1.057699482,0.349065840244,0.0265011657029,-0.0146587314084,0.0225889515132,0.0274422150105,0.0274422150105,-0.0107836825773,-0.0156273879111,0.0197492931038,0.0197492931038,7.82920217514,0.0285214129835,2007,1998,2526,2019,2019,2956,3433,3433,3259,3372,3109,3056,3164,3144,3240,2805,3396,3408,3233,3364,3126,3356,3390,3197
1508071605946726640,107,1508071605946443740,plot_matl,0.349065840244,0.0647751092911,0.0327758304775,-0.0483297593892,0.000217425171286,0.000217425171286,-0.17890509963,0.00943470280617,3.42452740669,3.42452740669,-2.1583545208,8.3463010788,1809,1847,2190,1886,1886,2807,3353,3365,3191,3327,3063,3017,3099,3119,3196,2924,3379,3374,3225,3307,2997,3295,3335,3077,0.010002317,1.070012568,1.070247919,0.349065840244,0.0216827709228,-0.0146598713472,0.02264508605,-0.0191170852631,-0.0191170852631,-0.0107596134767,0.00771588273346,-0.0225037615746,-0.0225037615746,7.74723291397,-0.00991131830961,2006,2003,2526,2023,2023,2957,3432,3431,3260,3372,3108,3054,3162,3145,3240,2805,3394,3409,3233,3364,3125,3355,3390,3197
1508071605956610685,108,1508071605956435984,plot_matl,0.349065840244,0.0647751092911,0.0312660336494,-0.0481827631593,0.000172076222952,0.000172076222952,-0.134977117181,0.016230398789,3.13588786125,3.13588786125,-2.14851999283,8.19444656372,1827,1867,2194,1882,1882,2814,3353,3365,3191,3327,3063,3017,3099,3119,3196,2924,3379,3374,3223,3306,2998,3294,3334,3075,0.009991303,1.08000452,1.079060724,0.349065840244,0.0240919683129,-0.0146318180487,0.0226272493601,0.00559364026412,0.00559364026412,0.00402408698574,-0.0164022631943,0.0483989752829,0.0483989752829,7.82488632202,-0.026832299307,2004,2001,2526,2023,2023,2958,3432,3431,3260,3372,3108,3054,3162,3145,3240,2805,3394,3409,3233,3364,3126,3355,3390,3196
1508071605966638550,109,1508071605966452602,plot_matl,0.349065840244,0.0661245882511,0.0300386399031,-0.0481071770191,0.0134948883206,0.0134948883206,-0.11017087847,0.00492541771382,2.93287014961,2.93287014961,-2.11812329292,8.12099170685,1839,1882,2194,1882,1882,2814,3354,3368,3193,3327,3067,3015,3103,3121,3196,2921,3379,3374,3223,3306,2998,3294,3334,3075,0.010016345,1.090021232,1.091781605,0.349065840244,0.0240919683129,-0.0146229881793,0.0226338412613,0.00416447129101,0.00416447129101,0.00384324090555,-0.016540704295,0.112483434379,0.112483434379,8.05781269073,-0.0418338216841,2005,2012,2526,2023,2023,2958,3433,3433,3259,3372,3108,3056,3162,3146,3239,2807,3394,3409,3233,3364,3126,3355,3390,3196
