%time,field.header.seq,field.header.stamp,field.header.frame_id,field.FFJ1,field.FFJ2,field.FFJ3,field.FFJ4,field.FFJ1_dot,field.FFJ2_dot,field.FFJ3_dot,field.FFJ4_dot,field.FFJ1_tao,field.FFJ2_tao,field.FFJ3_tao,field.FFJ4_tao,field.pac0,field.pac1,field.pdc0,field.tac0,field.tdc0,field.el0,field.el1,field.el2,field.el3,field.el4,field.el5,field.el6,field.el7,field.el8,field.el9,field.el10,field.el11,field.el12,field.el13,field.el14,field.el15,field.el16,field.el17,field.el18,field.dt,field.time,field.test_time2,field.MFJ1,field.MFJ2,field.MFJ3,field.MFJ4,field.MFJ1_dot,field.MFJ2_dot,field.MFJ3_dot,field.MFJ4_dot,field.MFJ1_tao,field.MFJ2_tao,field.MFJ3_tao,field.MFJ4_tao,field.Mpac0,field.Mpac1,field.Mpdc0,field.Mtac0,field.Mtdc0,field.Mel0,field.Mel1,field.Mel2,field.Mel3,field.Mel4,field.Mel5,field.Mel6,field.Mel7,field.Mel8,field.Mel9,field.Mel10,field.Mel11,field.Mel12,field.Mel13,field.Mel14,field.Mel15,field.Mel16,field.Mel17,field.Mel18
1508071368416826806,106,1508071368416336685,plot_matl,0.349065840244,0.0323875546455,-0.0292677655816,-0.0201834887266,-0.00113744102418,-0.00113744102418,0.000625513726845,0.0073156892322,-0.0654760748148,-0.0654760748148,-0.835291266441,-4.43232917786,2039,2054,2163,1858,1858,2803,3340,3356,3186,3301,3043,2979,3070,3077,3165,2842,3359,3357,3196,3265,2928,3272,3294,3009,0.00998585,1.05999841,1.0585001,0.349065840244,0.0240919683129,-0.044630985707,0.0266133137047,-0.0147857517004,-0.0147857517004,-0.00368570489809,0.00114937289618,0.601860165596,0.601860165596,2.03634691238,-12.9858217239,2033,2032,2568,2019,2019,2998,3438,3440,3289,3381,3134,3042,3155,3117,3222,2683,3345,3361,3161,3322,3069,3337,3377,3189
1508071368426539742,107,1508071368426331673,plot_matl,0.349065840244,0.0323875546455,-0.0292621292174,-0.0201620552689,-0.00119419151451,-0.00119419151451,0.00051282386994,0.00688366685063,-0.0898043364286,-0.0898043364286,-0.976731598377,-4.45813274384,2016,2042,2163,1858,1858,2802,3342,3355,3185,3301,3046,2981,3070,3078,3165,2842,3359,3357,3196,3265,2928,3272,3294,3009,0.009993716,1.069993078,1.069327612,0.349065840244,0.0289103612304,-0.044651068747,0.0266438536346,0.0316794365644,0.0316794365644,-0.00330552621745,0.000503344926983,0.657995164394,0.657995164394,2.15333652496,-12.9505157471,2034,2030,2568,2019,2019,2999,3437,3438,3287,3382,3134,3040,3155,3115,3222,2683,3345,3361,3161,3322,3069,3337,3377,3189
1508071368436619275,108,1508071368436340023,plot_matl,0.349065840244,0.0337370336056,-0.0292574539781,-0.0201198346913,0.0118957404047,0.0118957404047,0.000419336516643,0.00600624969229,-0.127023637295,-0.127023637295,-0.791289031506,-4.59984827042,2005,2018,2163,1858,1858,2802,3342,3355,3185,3301,3046,2981,3070,3078,3166,2841,3358,3358,3196,3264,2929,3272,3295,3008,0.010007993,1.080001202,1.080863244,0.349065840244,0.0265011657029,-0.0446517840028,0.0266441944987,0.00733241718262,0.00733241718262,-0.00328373396769,0.000454867171356,0.647209763527,0.647209763527,2.14516544342,-12.7772369385,2032,2029,2568,2019,2019,2999,3437,3438,3287,3382,3134,3040,3155,3115,3224,2683,3345,3362,3161,3323,3068,3338,3379,3189
1508071368446614963,109,1508071368446359030,plot_matl,0.349065840244,0.0323875546455,-0.0292536709458,-0.020102052018,-0.00137837801594,-0.00137837801594,0.000343708699802,0.00563699193299,0.0630835518241,0.0630835518241,-0.866223037243,-4.56101465225,1986,2037,2163,1861,1861,2804,3344,3355,3185,3300,3044,2982,3070,3078,3166,2841,3358,3358,3196,3264,2929,3272,3295,3008,0.010018672,1.09002022,1.092035248,0.349065840244,0.0265011657029,-0.0446267575026,0.0266252048314,0.00728758843616,0.00728758843616,-0.00378196220845,0.000828780350275,0.67786449194,0.67786449194,2.15268540382,-12.6746797562,2028,2032,2569,2023,2023,2997,3440,3438,3287,3382,3135,3041,3155,3115,3224,2683,3345,3362,3161,3323,3068,3338,3379,3189
1508071368456653049,110,1508071368456359444,plot_matl,0.349065840244,0.0323875546455,-0.0292367339134,-0.0200843065977,-0.00113331736065,-0.00113331736065,2.06329441426e-05,0.00528113404289,0.252232819796,0.252232819796,-0.78146058321,-4.45514631271,2006,2057,2163,1861,1861,2804,3344,3355,3185,3300,3044,2982,3071,3077,3166,2843,3358,3357,3195,3265,2928,3271,3295,3008,0.010000068,1.100020648,1.10000748,0.349065840244,0.0265011657029,-0.0445926040411,0.0266114827245,0.00857569929212,0.00857569929212,0.0108489822596,0.00110057229176,0.770219266415,0.770219266415,2.11142349243,-12.76557827,2028,2023,2569,2023,2023,2997,3440,3438,3287,3382,3135,3041,3154,3116,3223,2684,3344,3363,3159,3322,3068,3338,3379,3189
1508071368466577522,111,1508071368466340232,plot_matl,0.349065840244,0.0323875546455,-0.0292476918548,-0.02005456388,-0.00170234311372,-0.00170234311372,0.000245836388785,0.0046842773445,0.39029276371,0.39029276371,-0.788776874542,-4.29606676102,2038,2083,2164,1860,1860,2800,3341,3357,3187,3301,3044,2982,3071,3077,3166,2843,3358,3357,3195,3265,2928,3271,3296,3007,0.009980433,1.110001377,1.107828063,0.349065840244,0.0265011657029,-0.0445904433727,0.0266211628914,0.00876740645617,0.00876740645617,0.0107969678938,0.000900570012163,0.791839957237,0.791839957237,2.07194137573,-12.8101673126,2025,2032,2568,2026,2026,2998,3438,3439,3288,3381,3135,3041,3154,3116,3223,2684,3344,3363,3159,3322,3068,3338,3377,3188
1508071368476457525,112,1508071368476322466,plot_matl,0.349065840244,0.0323875546455,-0.0292585659772,-0.0200557857752,-0.00139772472903,-0.00139772472903,0.000442921911599,-0.00502797449008,0.464976251125,0.464976251125,-1.00336480141,-4.09537982941,2053,2098,2164,1860,1860,2800,3341,3357,3187,3301,3045,2979,3067,3078,3166,2844,3360,3357,3193,3262,2928,3271,3296,3007,0.009981592,1.119983448,1.117938304,0.349065840244,0.0289103612304,-0.0446063056588,0.0265804473311,0.0318642482162,0.0318642482162,-0.00424318574369,-0.0227603260428,0.743286192417,0.743286192417,1.9701243639,-12.7338209152,2025,2026,2568,2026,2026,2998,3438,3439,3288,3381,3136,3040,3155,3114,3223,2684,3345,3363,3161,3322,3068,3338,3377,3188
1508071368486471736,113,1508071368486321936,plot_matl,0.349065840244,0.0323875546455,-0.0292671304196,-0.020041231066,-0.00164180423599,-0.00164180423599,0.000607567548286,-0.0053494554013,0.466000556946,0.466000556946,-0.931283950806,-4.14463567734,2056,2097,2163,1862,1862,2804,3342,3357,3187,3301,3045,2979,3067,3078,3166,2844,3360,3357,3193,3262,2927,3271,3296,3010,0.009999261,1.129983098,1.129916493,0.349065840244,0.0240919683129,-0.0446437858045,0.026617558673,-0.0154972011223,-0.0154972011223,-0.0034803613089,0.000967035652138,0.750831782818,0.750831782818,1.92461526394,-12.714058876,2028,2029,2568,2027,2027,2998,3440,3440,3288,3381,3136,3040,3155,3114,3223,2684,3345,3363,3161,3322,3070,3339,3378,3189
1508071368496472726,114,1508071368496335686,plot_matl,0.349065840244,0.0323875546455,-0.0292671304196,-0.020041231066,-0.00164180423599,-0.00164180423599,0.000607567548286,-0.0053494554013,0.466000556946,0.466000556946,-0.931283950806,-4.14463567734,2041,2073,2163,1862,1862,2804,3342,3357,3186,3301,3045,2982,3072,3078,3166,2841,3358,3356,3193,3262,2927,3271,3296,3010,0.010012868,1.139996359,1.141466952,0.349065840244,0.0240919683129,-0.0446437858045,0.026617558673,-0.0154972011223,-0.0154972011223,-0.0034803613089,0.000967035652138,0.750831782818,0.750831782818,1.92461526394,-12.714058876,2025,2024,2568,2027,2027,2998,3440,3440,3287,3382,3135,3040,3154,3116,3223,2683,3345,3362,3161,3322,3070,3339,3378,3189
1508071368506471626,115,1508071368506338811,plot_matl,0.349065840244,0.0323875546455,-0.0292890127748,-0.0200528744608,-0.00127304659691,-0.00127304659691,0.00104216614272,-0.00508727971464,0.517522513866,0.517522513866,-0.88008916378,-3.84645843506,2019,2060,2163,1863,1863,2804,3342,3357,3186,3301,3045,2982,3072,3078,3166,2841,3358,3356,3194,3264,2928,3270,3298,3007,0.010002975,1.149999526,1.150342125,0.349065840244,0.0265011657029,-0.0446475408971,0.0266114827245,0.00841667130589,0.00841667130589,-0.00336091010831,-0.02334372513,0.724736094475,0.724736094475,2.16310024261,-12.4779014587,2026,2025,2568,2028,2028,2998,3440,3440,3287,3382,3135,3040,3154,3116,3223,2683,3345,3362,3159,3326,3068,3337,3377,3189
